MC,NC,KC,GFLOPS
544,544,192,1246.36
544,544,208,1011.6
544,544,224,1092.57
544,544,240,1119.09
544,544,256,939.897
544,544,272,1000.2
544,544,288,1065.72
544,544,304,995.948
544,544,320,1080.31
544,544,336,966.836
544,544,352,1064.65
544,544,368,1026.39
544,544,384,1076.69
544,544,400,1141.37
544,544,416,1026.78
544,544,432,1103.47
544,544,448,1071.47
544,544,464,971.097
544,544,480,1185.61
544,544,496,970.757
544,544,512,1028.53
544,544,528,1235.44
544,544,544,1084.65
544,544,560,1185.84
544,544,576,1022.37
544,544,592,1232.96
544,544,608,1133.13
544,544,624,957.862
544,544,640,1078.46
544,544,656,1118.29
544,544,672,1050.58
544,544,688,1115.75
544,544,704,1241.67
544,544,720,968.092
544,544,736,1203.58
544,544,752,1004.54
544,544,768,914.032
544,544,784,1112.57
544,544,800,985.116
544,544,816,990.21
544,544,832,960.171
544,544,848,1057.66
544,544,864,1088.99
544,544,880,971.997
544,544,896,1051.39
544,544,912,1088.26
544,544,928,1024.48
544,544,944,1123.18
544,544,960,1078.89
544,544,976,829.378
544,544,992,1201.65
544,544,1008,989.061
576,576,16,722.368
576,576,32,922.798
576,576,48,1206.52
576,576,64,1145.66
576,576,80,826.157
576,576,96,920.559
576,576,112,1057.43
576,576,128,1059.31
576,576,144,1313.79
576,576,160,963.165
576,576,176,1072.0
576,576,192,1113.14
576,576,208,1224.37
576,576,224,1134.31
576,576,240,1075.88
576,576,256,1351.99
576,576,272,1283.44
576,576,288,1012.3
576,576,304,1312.89
576,576,320,1013.99
576,576,336,1077.09
576,576,352,1308.18
576,576,368,1306.78
576,576,384,1024.57
576,576,400,1314.87
576,576,416,1072.66
576,576,432,1294.4
576,576,448,1327.35
576,576,464,1070.44
576,576,480,1327.12
576,576,496,1015.84
576,576,512,1324.01
576,576,528,1335.32
576,576,544,986.947
576,576,560,1358.99
576,576,576,1340.37
576,576,592,1007.49
576,576,608,1118.87
576,576,624,1325.6
576,576,640,1167.15
576,576,656,1137.4
576,576,672,1113.45
576,576,688,904.818
576,576,704,1069.91
576,576,720,1334.24
576,576,736,1098.81
576,576,752,1005.92
576,576,768,1145.61
576,576,784,1286.5
576,576,800,997.222
576,576,816,1329.26
576,576,832,1268.26
576,576,848,983.274
576,576,864,1008.95
576,576,880,960.031
576,576,896,1009.94
576,576,912,1145.13
576,576,928,1023.76
576,576,944,1002.66
576,576,960,982.023
576,576,976,1237.51
576,576,992,1265.76
576,576,1008,1006.19
608,608,16,943.996
608,608,32,1040.84
608,608,48,934.08
608,608,64,1161.32
608,608,80,954.713
608,608,96,827.136
608,608,112,1004.57
608,608,128,1205.75
608,608,144,1194.15
608,608,160,947.214
608,608,176,1247.67
608,608,192,1217.26
608,608,208,910.9
608,608,224,1232.47
608,608,240,1239.53
608,608,256,1029.81
608,608,272,1226.1
608,608,288,1240.04
608,608,304,1028.81
608,608,320,1233.8
608,608,336,862.04
608,608,352,1212.53
608,608,368,1031.97
608,608,384,1237.65
608,608,400,1239.38
608,608,416,1049.39
608,608,432,1275.48
608,608,448,1249.68
608,608,464,1043.01
608,608,480,1260.09
608,608,496,1222.67
608,608,512,1030.47
608,608,528,1159.94
608,608,544,921.046
608,608,560,1039.7
608,608,576,1230.9
608,608,592,1045.12
608,608,608,1207.08
608,608,624,1080.06
608,608,640,1246.96
608,608,656,1251.38
608,608,672,1025.78
608,608,688,1216.6
608,608,704,1038.17
608,608,720,1013.54
608,608,736,1169.05
608,608,752,1232.39
608,608,768,971.694
608,608,784,1188.27
608,608,800,1054.07
608,608,816,973.237
608,608,832,1223.78
608,608,848,1039.71
608,608,864,1058.79
608,608,880,920.017
608,608,896,1217.05
608,608,912,1213.21
608,608,928,997.208
608,608,944,1154.29
608,608,960,1205.78
608,608,976,979.485
608,608,992,1166.16
608,608,1008,1144.8
640,640,16,774.057
640,640,32,1086.6
640,640,48,965.178
640,640,64,1046.89
640,640,80,929.438
640,640,96,1082.12
640,640,112,1082.43
640,640,128,966.68
640,640,144,1165.27
640,640,160,1145.75
640,640,176,1102.21
640,640,192,1130.52
640,640,208,1155.73
640,640,224,954.365
640,640,240,1173.18
640,640,256,964.931
640,640,272,1118.73
640,640,288,1028.71
640,640,304,1131.59
640,640,320,1155.88
640,640,336,929.461
640,640,352,1204.96
640,640,368,1075.16
640,640,384,1049.3
640,640,400,1108.5
640,640,416,1124.56
640,640,432,993.105
640,640,448,1150.55
640,640,464,1035.15
640,640,480,1021.94
640,640,496,1140.17
640,640,512,1026.87
640,640,528,912.165
640,640,544,973.356
640,640,560,1127.19
640,640,576,1046.41
640,640,592,960.599
640,640,608,1105.51
640,640,624,1112.05
640,640,640,1044.3
640,640,656,1136.16
640,640,672,972.626
640,640,688,974.953
640,640,704,957.583
640,640,720,1153.8
640,640,736,1125.82
640,640,752,915.301
640,640,768,1117.25
640,640,784,1128.17
640,640,800,961.004
640,640,816,1130.67
640,640,832,1048.9
640,640,848,1034.46
640,640,864,1131.04
640,640,880,967.912
640,640,896,1018.73
640,640,912,1013.37
640,640,928,1067.88
640,640,944,1177.57
640,640,960,1008.42
640,640,976,1183.0
640,640,992,1096.0
640,640,1008,844.02
672,672,16,755.769
672,672,32,959.16
672,672,48,884.276
672,672,64,1028.09
672,672,80,976.303
672,672,96,1018.02
672,672,112,891.857
672,672,128,1049.01
672,672,144,1020.39
672,672,160,1000.66
672,672,176,1010.35
